metric,metric_std
"Biodiversity (abundance, biomass, density, Fisher’s alpha, Gini–Simpson index, Shannon evenness, Shannon index, species list, species number, analysed together) of Bryophytes, butterflies, earthworms, grasshoppers, ground beetles, plants, seed bank, spiders","Biodiversity (abundance, biomass, density, Fisher’s alpha, Gini–Simpson index, Shannon evenness, Shannon index, species list, species number, analysed together) of Bryophytes, butterflies, earthworms, grasshoppers, ground beetles, plants, seed bank, spiders"
"Biodiversity (including species, family and generic richnes, diversity, evenness, including appropriate indices, community composition) of acquatic invertebrates","Biodiversity (including species, family and generic richnes, diversity, evenness, including appropriate indices, community composition) of acquatic invertebrates"
"Biodiversity (including species, family and generic richnes, diversity, evenness, including appropriate indices, community composition) of macroinvertebrates","Biodiversity (including species, family and generic richnes, diversity, evenness, including appropriate indices, community composition) of macroinvertebrates"
"Biodiversity (including species, family and generic richnes, diversity, evenness, including appropriate indices, community composition) of protista","Biodiversity (including species, family and generic richnes, diversity, evenness, including appropriate indices, community composition) of protista"
"Biodiversity (including species, family and generic richnes, diversity, evenness, including appropriate indices, community composition) of terrestrial invertebrates","Biodiversity (including species, family and generic richnes, diversity, evenness, including appropriate indices, community composition) of terrestrial invertebrates"
"Biodiversity (including species, family and generic richnes, diversity, evenness, including appropriate indices, community composition) of vascular plants","Biodiversity (including species, family and generic richnes, diversity, evenness, including appropriate indices, community composition) of vascular plants"
"Biodiversity (including species, family and generic richnes, diversity, evenness, including appropriate indices, community composition) of vertebrates","Biodiversity (including species, family and generic richnes, diversity, evenness, including appropriate indices, community composition) of vertebrates"
"biodiversity (mammals, birds, herpetofauna, invertebrates, plants) parameters (species richness,  species abundance, species similarity, species diversity)","Biodiversity (mammals, birds, herpetofauna, invertebrates, plants) parameters (species richness,  species abundance, species similarity, species diversity)"
biodiversity parameters (taxa studied among plants/arthropods/fungi/birds),Biodiversity parameters (taxa studied among plants/arthropods/fungi/birds)
Biotic abundance,Biotic abundance
"biotic abundance (Natural enemy, Herbivore, Pollinator, Producer) and taxa (Vertebrate, Arthropod, Microbe, Plant)","Biotic abundance (Natural enemy, Herbivore, Pollinator, Producer) and taxa (Vertebrate, Arthropod, Microbe, Plant)"
"Biotic abundance of functional groups (Natural enemy, Herbivore, Pollinator, Producer) and taxa (Vertebrate, Arthropod, Microbe, Plant)","Biotic abundance of functional groups (Natural enemy, Herbivore, Pollinator, Producer) and taxa (Vertebrate, Arthropod, Microbe, Plant)"
"Biotic abundance,",Biotic abundance
"biotic rarefied richness of functional groups (Natural enemy, Herbivore, Pollinator, Producer) and taxa (Vertebrate, Arthropod, Microbe, Plant)","Biotic rarefied richness of functional groups (Natural enemy, Herbivore, Pollinator, Producer) and taxa (Vertebrate, Arthropod, Microbe, Plant)"
Biotic richness,Biotic species richness
"Biotic richness of functional groups (Natural enemy, Herbivore, Pollinator, Producer) and taxa (Vertebrate, Arthropod, Microbe, Plant)","Biotic richness of functional groups (Natural enemy, Herbivore, Pollinator, Producer) and taxa (Vertebrate, Arthropod, Microbe, Plant)"
Bird abundance,Bird abundance
Bird nesting success,Bird nesting success
Bird number,Bird number
Bird species abundance,Bird species abundance
Bird species richness,Bird species richness
Birds population density,Birds population density
Bryophytess richness,Bryophytess richness
Canopy height,Canopy height
Colleoptera abundance and desnity,Colleoptera abundance and desnity
Crustacean density,Crustacean density
Detritivore abundance,Detritivore abundance
"Diversity (Shannon-Wiener H', Margalef's richness d, Pielou's evenness J', Simpson’s diversity, Jaccard similarity index, Simpson similarity index, species richness, tropic diversity, number of species)","Diversity (Shannon-Wiener H', Margalef's richness d, Pielou's evenness J', Simpson’s diversity, Jaccard similarity index, Simpson similarity index, species richness, tropic diversity, number of species)"
Farmland bird abundance,Farmland bird abundance
Fish density,Fish density
"Fitness (biomass, growth rate, survival rate, body size, reproduction, habitat use, food or energy contribution, prey/ energy/ plant intake)","Fitness (biomass, growth rate, survival rate, body size, reproduction, habitat use, food or energy contribution, prey/ energy/ plant intake)"
"Floristic composition (i.e., interpreted in terms of favourable condition as defined using the upland common standards monitoring (CSM) tables (Joint Nature Conservation Committee, 2004))","Floristic composition (i.e., interpreted in terms of favourable condition as defined using the upland common standards monitoring (CSM) tables (Joint Nature Conservation Committee, 2004))"
"forest (trees, epiphytes and forest animals) species richness","Forest (trees, epiphytes and forest animals) species richness"
Grouse adult counts,Grouse adult counts
Grouse chick production,Grouse chick production
Herbaceous plant species richness,Herbaceous plant species richness
Herbivore abundance,Herbivore abundance
Insect abundance,Insect abundance
Insects diversity,Insects diversity
Invertebrate abundance,Invertebrate abundance
Invertebrate richness,Invertebrate species richness
Invertebrate species richness,Invertebrate species richness
"Invertebrate, stream macroinvertebrate and vertebrate biodiversity (mainly species richness, but also abundance and composition)","Invertebrate, stream macroinvertebrate and vertebrate biodiversity (mainly species richness, but also abundance and composition)"
Lichens richness,Lichens species richness
Mammal abundance,Mammal abundance
Mammal species richness,Mammal species richness
Mean species abundance,Species abundance
Natural enemies taxon abundance,Natural enemies taxon abundance
Nekton density,Nekton density
Non-target invertebrate abundance,Non-target invertebrate abundance
Non-vascular cryptogams richness,Non-vascular cryptogams richness
Overall invertebrate abundance and density,Invertebrate abundance and density
Plant abundance,Plant abundance
Plant abundance and species richness,Plant abundance and species richness
"Plant assemblage (abundance, diversity and fitness)","Plant assemblage (abundance, diversity and fitness)"
"Plant biodiversity (species richness, eveness or combined index)","Plant biodiversity (species richness, eveness or combined index)"
Plant biomass,Plant biomass
Plant cover,Plant cover
Plant density,Plant density
Plant diversity,Plant diversity
Plant establishment,Plant establishment
Plant geometric mean abundance,Plant geometric mean abundance
Plant growth,Plant growth
Plant height,Plant height
Plant individual species abundance,Plant individual species abundance
Plant mean species abundance,Plant mean species abundance
Plant reproduction,Plant reproduction
Plant richness,Plant species richness
Plant species richness,Plant species richness
"Plant species richness, Fauna, Earthworm species richness, Spider species richness and abundance, Beetle species richness and abundance, Grasshopper species richness, Bird species richness","Plant species richness, Fauna, Earthworm species richness, Spider species richness and abundance, Beetle species richness and abundance, Grasshopper species richness, Bird species richness"
Plant stem density,Plant stem density
Plant stem height,Plant stem height
Plantae abundnace,Plantae abundnace
Plants population density,Plants population density
"Plants, Bryophita, Gasteropoda, insects and spiders abundance, richness diversity and eveness metrics","Plants, Bryophita, Gasteropoda, insects and spiders abundance, richness diversity and eveness metrics"
Predator abundance,Predator abundance
Reproductive output,Reproductive output
Reptile/amphibian abundance,Reptile/amphibian abundance
Reptile/amphibian species richness,Reptile/amphibian species richness
"Richness (arthropods, birds, non‐bird vertebrates, plants, soil organisms)","Richness (arthropods, birds, non‐bird vertebrates, plants, soil organisms)"
"seven taxonomic groups (plants, birds, invertebrates, reptiles, fungi, mammals, and amphibians)","Seven taxonomic groups (plants, birds, invertebrates, reptiles, fungi, mammals, and amphibians)"
Species abundance,Species abundance
Species evenness,Species evenness
Species richness,Species richness
Species richness - arthropod,Artropods species richness
Species richness - overall,Species richness
Species richness - plant,Plant species richness
"Species richness and abundance (plants, invertebrates, amphibians, fishes birds and mammals)","Species richness and abundance (plants, invertebrates, amphibians, fishes birds and mammals)"
Species richness was used as the measure of diversity.,Species richness
"Species richness, as in the form of raw data or the mean species richness, standard deviation and sample size in both farming systems",Species richness
Spider abundnace,Spider abundnace
Spider species abundance,Spider species abundance
Spider species richness,Spider species richness
Spiders population density,Spiders population density
Squamate species abundance,Squamate species abundance
"total (trees, epiphytes, herbaceous plants, birds, mammals, other vertebrates, ants and other arthropods)","Total (trees, epiphytes, herbaceous plants, birds, mammals, other vertebrates, ants and other arthropods)"
"Total abundance (arthropods, birds, non‐bird vertebrates, plants, soil organisms)","Total abundance (arthropods, birds, non‐bird vertebrates, plants, soil organisms)"
Total plant biomass,Total plant biomass
Vascular plants richness,Vascular plants richness
Vegetation cover,Vegetation cover
Vertebrate abundance,Vertebrate abundance
Total carbon sequestration rate in biomass and soil (MgCO2eq /ha /year),Organic carbon (soil + biomass) sequestration rate
Soil carbon sequestration rate  (MgCO2eq /ha /year),Soil organic carbon sequestration rate
soil organic carbon stock. sampled depth was between 0.15 and 0.3 m and in a few cases 0.4 m. Converted to an annual rate of increase expressed as Mg C ha−1 yr−1 .,Soil organic carbon sequestration rate 0-30 cm
Soil CH4 uptake,Methane uptake from soil
Organic matter content in soil (%).,Soil organic matter
C stock (kg /ha),Soil organic carbon stock
Stock of organic carbon in soil (kg m-2),Soil organic carbon stock
SOC stock (Mg /ha),Soil organic carbon stock
SOC stocks (Mg C /ha),Soil organic carbon stock
Soil C stocks (Mg C ha-1),Soil organic carbon stock
soil organic carbon stock (Mg ha−1) in 0–15 cm depth of soil,Soil organic carbon stock 0-15 cm
Soil organic carbon stocks to a depth of 0.3 m (MgC /ha),Soil organic carbon stock 0-30 cm
SOC sequestration rate (in Mg C ha−1 yr−1),Soil organic carbon sequestration rate
SOC sequestration rates (Mg C /ha /year),Soil organic carbon sequestration rate
SOC stability (the ratio of alkyl to O-alkyl groups and the total alkyl to aromatic ratio),Soil organic carbon stability
C stock,Soil organic carbon stock
aboveground biomass,Aboveground biomass carbon sequestration rate
aboveground biomass (either woody or non-woody),Aboveground biomass
Root C input,Carbon in root
Root carbon pool,Carbon in root
Dissolved organic carbon,Dissolved organic carbon
Extractable organic carbon (EOC),Extractable soil organic carbon
Liable organic carbon,Liable organic carbon
Light fraction organic carbon,Light fraction organic carbon
Litter carbon pool,Litter carbon pool
Mineral associated organic carbon (MAOC),Mineral associated soil organic carbon
Native soil organic matter,Native soil organic matter
Particulate organic carbon,Particulate soil organic carbon
Particulate organic carbon (POC),Particulate soil organic carbon
Active organic carbon,Soil active organic carbon
carbon in soil macroaggragates (> 0.25 mm),Soil organic carbon in soil macroaggragates
Annual rate of increase of soil organic carbon,Soil organic carbon sequestration rate
C sequestration,Soil organic carbon sequestration rate
C sequestration rate,Soil organic carbon sequestration rate
Carbon sequestration in soil,Soil organic carbon sequestration rate
Carbon sequestration rate,Soil organic carbon sequestration rate
Change in SOC content (%),Soil organic carbon sequestration rate
Changes in C sequestration rates,Soil organic carbon sequestration rate
Changes in SOC stocks,Soil organic carbon sequestration rate
Soil organic carbon change rate,Soil organic carbon sequestration rate
Soil organic carbon loss,Soil organic carbon sequestration rate
Soil organic carbon sequestration,Soil organic carbon sequestration rate
Soil organic carbon sequestration rate,Soil organic carbon sequestration rate
Top soil organic carbon sequestration rates,Soil organic carbon sequestration rate
Soil organic carbon stock,Soil organic carbon stock
SOC,Soil organic carbon stock
SOC concentrations,Soil organic carbon stock
SOC content,Soil organic carbon stock
SOC content (equivalent soil mass method),Soil organic carbon stock
SOC stock,Soil organic carbon stock
SOC stock (within 30 cm depth),Soil organic carbon stock 0-30 cm
SOC storage,Soil organic carbon stock
Soil C,Soil organic carbon stock
Soil carbon,Soil organic carbon stock
Soil carbon organic,Soil organic carbon stock
Soil carbon pool,Soil organic carbon stock
Soil carbon stock,Soil organic carbon stock
soil organic carbon,Soil organic carbon stock
SOM content,Soil organic matter
Soil organic carbon concentration,Soil organic carbon stock
Soil organic carbon content,Soil organic carbon stock
Carbon sequestration in biomass,Biomass carbon sequestration rate
Soil organic carbon stocks,Soil organic carbon stock
Soil organic content,Soil organic carbon stock
Top soil organic carbon stock,Soil organic carbon stock
Top soil organic carbon stocks,Soil organic carbon stock
Total organic carbon (i.e. carbon stored in soil organic matter),Soil organic carbon stock
Total soil organic C (TC),Soil organic carbon stock
SOC concentration (>30cm),Soil organic carbon stock > 30 cm
SOC (0-10 cm depht),Soil organic carbon stock 0-10 cm
Soil carbon content and stocks 0-10cm,Soil organic carbon stock 0-10 cm
Soil organic carbon 1-10 cm,Soil organic carbon stock 0-10 cm
SOC stocks (at 0-100 cm),Soil organic carbon stock 0-100 cm
SOC concentration (0-15cm),Soil organic carbon stock 0-15 cm
SOC stocks (at 0-15 cm),Soil organic carbon stock 0-15 cm
Soil organic carbon 0-15 cm,Soil organic carbon stock 0-15 cm
Soil organic carbon stock 0-15 cm,Soil organic carbon stock 0-15 cm
Soil total carbon 0-15 cm,Soil organic carbon stock 0-15 cm
SOC stock (0-150cm),Soil organic carbon stock 0-150 cm
Soil carbon content and stocks 0_20cm,Soil organic carbon stock 0-20 cm
Soil carbon content and stocks 0-20cm,Soil organic carbon stock 0-20 cm
SOC stock (0-30cm),Soil organic carbon stock 0-30 cm
SOC stocks (at 0-30 cm),Soil organic carbon stock 0-30 cm
Soil organic carbon stock 0-30 cm,Soil organic carbon stock 0-30 cm
Soil carbon content and stocks 0-5cm,Soil organic carbon stock 0-5 cm
SOC stocks (at 0-60 cm),Soil organic carbon stock 0-60 cm
Soil organic carbon stock 0-60 cm,Soil organic carbon stock 0-60 cm
SOC (10-30 cm depht),Soil organic carbon stock 10-30 cm
Soil organic carbon stocks (10-30 cm),Soil organic carbon stock 10-30 cm
SOC concentration (15-30cm),Soil organic carbon stock 15-30 cm
Soil organic carbon 15-40 cm,Soil organic carbon stock 15-40 cm
Soil carbon content and stocks 20-100cm,Soil organic carbon stock 20-100 cm
Soil carbon content and stocks 5-20cm,Soil organic carbon stock 5-20 cm
Soil organic matter,Soil organic matter
Soil organic matter (including soil organic carbon),Soil organic matter
Soil organic matter per unit of area,Soil organic matter
Soil organic matter 0-15 cm,Soil organic matter 0-15 cm
Soil organic matter 15-40 cm,Soil organic matter 15-40 cm
Percentage change in GHG emissions (CH4 and N2O emissions),Aggregated GHGs emission from soil
"Land equivalent ratio (LER), relative land output (RLO) based upon gross energy and RLO based upon gross incomes",Land equivalent ratio
Total LER (land equivalent ratio) and gross income (USD),Land equivalent ratio
aboveground biomass,main crop yield (aboveground biomass)
Absolute stability,Crop yield absolute stability
Absolute stability ratio,Crop yield absolute stability
Absolute stabilty (crop yield variability along 4 years),Crop yield absolute stability
Arable crop yield,main crop yield
Biomass,main crop yield (biomass)
Biomass yield,main crop yield (biomass)
Cash crop biomass,main crop yield (biomass)
cash crop productivity per plant,main crop yield
Cash crop yield,main crop yield
Cash crop yield (rice),main crop yield
cash crop yield per hectare,main crop yield
Cereal yield,main crop yield
Cereal/oilseed rape yield,main crop yield
Cereal/oilseed rape yield (reduced N fertilization compared to reference),main crop yield
Changes in the aboveground net primary productivity,main crop yield (aboveground biomass)
Commercial yield,main crop yield
crop grain yield,Main crop yield (grain)
Crop productivity,main crop yield
crop yield,main crop yield
water use efficiency,water use efficiency
Crop yield (%),main crop yield
Crop yield (all crops),main crop yield
Crop yield (CY),main crop yield
Crop yield (millet and maize),main crop yield
Crop yield (overall),main crop yield
Crop yield (sorghum),main crop yield
Crop yield after fallow,main crop yield
Crop yield from only the main crop,main crop yield
"Crop yield metrics: Total biomass, grain yield, aboveground biomass (shoot biomass) and/or underground biomass (root biomass)",main crop yield
Economic yield,main crop yield
"Energy conversion efficiency (εc, the efficiency with which intercepted or absorbed energy is converted into biomass and is based on the photochemical efficiency of the entire plant canopy)",Energy conversion efficiency to biomass
Energy output from yield,Energy output
"Farm productivity (cash crops only, without counting pastures and/or forages production in the rotation system)",main crop yield
Food crop yield,main crop yield
food production yield,Food products yield (farm scale)
Fruit yield,Fruit yield
Grain number,Main crop yield (grain)
Grain productivity,Main crop yield (grain)
Grain weight,Main crop yield (grain)
grain yield,Main crop yield (grain)
Grain yield difference,Main crop yield (grain)
Grape quantity,Fruit yield
groundnuts,Fruit yield
Harvest index,Harvest index
Interannual yield variance,Crop yield stability
Land equivalent ratio,Land equivalent ratio
Land equivalent ratio (LER),Land equivalent ratio
Land equivalent ratio for biomass,Land equivalent ratio
Land equivalent ratio for crop yield,Land equivalent ratio
Land equivalent ratio of aboveground biomass (LERB),Land equivalent ratio
Land equivalent ratio of cereal yield (LERY),Land equivalent ratio
"Land equivalent ration (LER; partial and total LER), yield ratio, and proportion of legume in the mixture of crop grains.",Land equivalent ratio
main crop yield,main crop yield
maize,main crop yield
Maize grain and straw dry matter yields,Main crop yield (grain)
Maize grain yield,Main crop yield (grain)
Maize yield,main crop yield
Marketable tuber rate,main crop yield
Mean crop yield,main crop yield
Mean fruit/nut yield,Fruit yield
Mean yield,main crop yield
Mean yield over the whole duration of experiment (yieldm),main crop yield
Millet grain and straw dry matter yields,main crop yield (aboveground biomass)
Net effect for aboveground biomass (NEB),main crop yield (aboveground biomass)
Net effect for yield (NEY),main crop yield
"Overall yield gain (NE, difference between the observed yield and the expected yield)",main crop yield
Overyielding (the difference in productivity of a variety mixture compared with the weighted mean of its component varieties in pure stand),main crop yield
Partial land equivalent ratio (PLER: the relative yield of an intercropped speciescompared to its yield in a sole crop),Partial land equivalent ratio
Percentage of maximum yield,main crop yield (percentage of maximum)
Per-plant crop yield from only the main crop (additive design),main crop yield
Per-plant crop yield from only the main crop (substitutive design),main crop yield
plant height (PH),Plant height
Potato yield,main crop yield
Probability distribution of yield gaps (or yield risk),Probability distribution of yield gaps
"Production potential (biomass accumulation, crop yield, etc.)",main crop yield
Protein equivalent yield,Protein equivalent yield
Pruning material production,Pruning material production
Relative stability,Crop yield stability
"Relative stability (variability over 4 years, divided by yield)",Crop yield stability
Relative stability ratio,Crop yield stability
Relative yield,main crop yield
Relative yield (%),main crop yield
"Relative yield (RY, it compares the productivity of plants grown as monocultures and those grown in combination with others)",main crop yield
Residual plastic effect on yield,main crop yield
Rice grain yield,Main crop yield (grain)
Rice yield,Main crop yield (grain)
Seed cotton yield; Lint yield,Seed yield
shoot biomass (SB),main crop yield (aboveground biomass)
sorghum,main crop yield
Sorghum grain and straw dry matter yields,main crop yield
Sorghum yield,main crop yield
Soybean yield,main crop yield
Spatial stability,Crop yield spatial stability
Spike diameter,Main crop yield (grain)
Spike length,Main crop yield (grain)
Spike number,Main crop yield (grain)
Straw,Straw biomass
Succeeding crop yield,main crop yield
Temporal stability,Crop yield temporal stability
Thousand grain weight,Main crop yield (grain)
Total aboveground production (net primary productivity),main crop yield (aboveground biomass)
Total biomass (TB),Plant biomass
Vegetable,main crop yield
Vine yield,Fruit yield
Wheat and barley yield,main crop yield
Wheat yield,main crop yield
Wheat-canola yield,main crop yield
Yield,main crop yield
"Yield (economic yield of a given crop, as total dry matter for grass, corn silage, and grains; or market weight (wet) for vegetables)",main crop yield
Yield gap change rate (%),Crop yield gap change rate
yield of corn,main crop yield
Yield of maize,main crop yield
Yield of subsequent cereals or rapeseed,main crop yield
Yield of subsequent crop,main crop yield
Yield of the final year of experiment (yieldf),main crop yield (end of experimental period)
Yield stability,Crop yield stability
Yield stability (Coefficient of variation - %CV),Crop yield stability
Yield stability (it compares the average monoculture coefficient of variation to that of the mixtures) over space,Crop yield spatial stability
Yield stability (it compares the average monoculture coefficient of variation to that of the mixtures) over time,Crop yield temporal stability
yieldf (yield of the final year of experiment),main crop yield (end of experimental period)
yieldm (over the whole duration of experiment),main crop yield (mean over the whole duration of the experiment)
Ecotoxicity,Ecotoxicity
Energy use efficiency,Energy use
Energy use per unit of product,Energy use (product based)
Energy use per unit of product (LCA approach),Energy use (product based)
Eutrophication,Eutrophication potential
Eutrophication potential per unit of product,Eutrophication potential (product based)
Eutrophication potential per unit of product (LCA approach),Eutrophication potential (product based)
Abiotic carbon flux,Abiotic carbon flux
Aggregated GHGs emission during land application,Aggregated GHGs emission from manure
Aggregated GHGs emission during storage,Aggregated GHGs emission from manure
Area-scaled CH4 emissions,Methane emission from soil
Area-scaled GWP,Aggregated GHGs emission from soil
Area-scaled GWP (N2O and CH4),Aggregated GHGs emission from soil
"CH4+N2O emissions (CO2 eq,kg ha-1 y-1)",Aggregated GHGs emission from soil - annual rate
N2O and CH4 emissions,Aggregated GHGs emission from soil
Carbon sequestration in biomass and soil,Biomass and soil carbon sequestration rate
Yield-scaled GWP (N2O and CH4),Aggregated GHGs emission from soil (yield scaled)
Carbon dioxide equivalent (CO2eq) emissions,Aggregated GHGs emission from soil
CH4,Methane emission from manure
CH4 production,Methane emission from enteric fermentation
CH4 yield,Methane emission from enteric fermentation
Dietary gross energy lost as CH4,Methane emission from enteric fermentation
N2O emissions,Nitrous oxide emission from enteric fermentation
CH4 emission,Methane emission from soil
CH4 emission,Methane emission from manure
CH4 emission during land application,Methane emission from manure
CH4 emission during storage,Methane emission from manure
CH4 emission from soil,Methane emission from soil
CH4 emission in terms of cumulative CH4–C emission as a proportion of the total carbon (TC) of the initial composting material,Methane emission from manure
CH4 emission per unit of area,Methane emission from soil
CH4 emission per unit of product,Methane emission from soil (product based)
CH4 emissions,Methane emission from soil
Global warming potential,Global warming potential
Carbon footprint,Global warming potential
Land use,Agricultural land use (product based)
Faecal N excretions,Fecal N excretion
Fecal N excretion,Fecal N excretion
Manure N excretion,Total N excretion
N excretion,Total N excretion
CH4 emissions,Methane emission from manure
"CH4 emissions (CH4 emissions,kg ha-1 y-1)",Methane emission from soil
CH4 emissions in paddy rice,Methane emission from soil
P excretion,Total P excretion
Ratio of total N excretion to average daily gain (%),Ratio of total N excretion to average daily gain
Ratio of total P excretion to average daily gain,Ratio of total P excretion to average daily gain
Total N excretion,Total N excretion
CH4 uptake,Methane uptake from soil
"Average yield and yield increase (t ha-1). Yield increase is the yield difference between the treatment (T) plot and the unfertilised control (C) plot, which is farmers’ de facto practice.",main crop yield
N2O emission during land application,Nitrous oxide emission from manure
CH4 uptake (oxidation),Methane uptake from soil
CH4 uptake by soil,Methane uptake from soil
CH4 uptake in uplands,Methane uptake from soil
Total P excretion,Total P excretion
Urinary N excretion,Urinary N excretion
CH4_C,Methane emission from manure
N2O emission during storage,Nitrous oxide emission from manure
CH4-C loss,Methane emission from manure
CO2 emissions,Net ecosystem CO2 exchange
CO2eq emission,Aggregated GHGs emission from soil
CO2eq emissions,Aggregated GHGs emission from soil
N2O emission factor,nitrous oxide emission from soil
N2O emission factor (% of total N),nitrous oxide emission from soil
N2O emission factors,nitrous oxide emission from soil
Area-scaled N2O emission (kgN /ha),nitrous oxide emission from soil
Area-scaled N2O emissions,nitrous oxide emission from soil
Odour,Odour emission
GWP,Aggregated GHGs emission from soil
Cumulative N2O emission,nitrous oxide emission from soil
Cumulative N2O emissions,nitrous oxide emission from soil
Mean of cumulative N2O emissions,nitrous oxide emission from soil
N2O,Nitrous oxide emission from manure
N2O emission,nitrous oxide emission from soil
N2O emission,Nitrous oxide emission from manure
N2O emission (cumulative emission during a cropping cycle or the entire growing season of a year),nitrous oxide emission from soil
N2O emission (non-LCA approach) per unit of area,nitrous oxide emission from soil
N2O emission (non-LCA approach) per unit of product,nitrous oxide emission from soil (product based)
N2O emission from soil,nitrous oxide emission from soil
N2O emission in terms of cumulative N2O-N losses as a proportion of the TN of the initial composting material,Nitrous oxide emission from manure
N2O emission per unit of area,nitrous oxide emission from soil
N2O emission per unit of product,nitrous oxide emission from soil (product based)
N2O emissions,nitrous oxide emission from soil
Cumulative NO emission,Nitric oxide emission from soil
NO emission,Nitric oxide emission from soil
NO emissions,Nitric oxide emission from soil
N2O emissions,Nitrous oxide emission from manure
N2O emissions (Area-scaled ),Nitrous oxide emission from manure
N2O emissions (Area-scaled ),nitrous oxide emission from soil
"N2O emissions (N2O emissions,kg ha-1 y-1)",nitrous oxide emission from soil - annual rate
N2O emissions (Yield-scaled),nitrous oxide emission from soil (yield scaled)
N2O_N,Nitrous oxide emission from manure
