scale,geo_coverage
"global. 6 continents and 16 countries, ranging from temperate to tropical climatic zones. most of the studies were in asia and in tropical areas.",global
"global. arid and semiarid (asa), lowland humid tropics (lht), mediterranean (med), temperate (tem). 30 countries (asia, africa, north america, latin america, and europe)",global
"global. most publications (n = 27) were from the united states, followed by italy (n = 4), denmark (n = 3), and others in north america, europe, and oceania (n = 6).",global
"global. most research occurred in the united states (n = 7), spain (n = 6), india (n = 5), and germany (n = 5).",global
"global. the experimental sites were across asia, australia, europe and north and south america.",global
"global. the majority of studies (39 out of 50) were conducted in countries of the european union. the largest number of studies was from spain (n = 17), followed by italy (n = 11), france (n = 10), the usa (n = 5), south africa (n = 4), and australia (n = 1), germany (n = 1) and turkey (n = 1).",global
india,india
indian tropics,india;tropical pedo-climate
indo-gangetic plains,india
japan,japan
latitude 40° to 70°n,global
loess plateau region (china),china
mainly asia,asia
"mainly asia, north america. spain, uruguay",asia;north america;spain;uruguay
"mainly north america, one study in finland",north america
mediterranean areas,mediterranean pedo-climate
mediterranean basin.,mediterranean pedo-climate
midwestern us,united states
"north american areas between the 40th and 50th parallels, and european areas between the 45th and 60th parallels",north america
north china plain,china
oceanic or continental climates,continental pedo-climate
ontario,united states
"semi-arid west africa (sudano-sahelian africa, including senegal, the gambia, mauritania, mali, burkina faso, northern benin, niger, nigeria, and northern cameroon).",arid pedo-climate;west africa
sub-saharan africa (ssa),sub-saharan africa
sub-saharian africa,sub-saharan africa
subsaharan africa,sub-saharan africa
temperate and continental climatic areas,continental pedo-climate
"temperate region, defined as latitude> 40° north or south (canada, france, turkey, uk and usa)",temperate pedo-climate
"temperate region, defined as latitude> 40° north or south (canada, france, turkey, uk and usa).",temperate pedo-climate
tropics in africa and asia.,tropical pedo-climate
uk and ireland,united kingdom;ireland
"united states of america, texas",united states
us midwest,united states
usa and mexico,united states;mexico
"usa, mexico, spain, france, equatorial africa, india, china",global
west africa,west africa
"west, east and southern africa",africa
"us and eu", united states; europe
